Date,Day,RouteId,Line,From,To,Slot,BusMin,WalkingFallbackMin,CarMin,ScrapedDetails,HasScreenshot,ScreenshotPath
2026-08-30,Sun,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,6," | 33 min | 2.4 km | via NH 12 | Details | Preview",false,"/home/runner/work/Metro-Traffic-Automation/Metro-Traffic-Automation/output/ss_metro_MC-23_12_00_AM.jpg"
2026-08-30,Sun,MC-24,Purple,"Taratala","Majerhat",12:00 AM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",false,"/home/runner/work/Metro-Traffic-Automation/Metro-Traffic-Automation/output/ss_metro_MC-24_12_00_AM.jpg"
2026-08-31,Mon,MC-06,Blue,"Dakshineswar","Dum Dum",12:00 AM,24,15,17," | 15 min | 5:24 AM (Sunday)—5:39 AM | 32212   | 5:27 AM from Dakshineswar 7 min late |  7 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-08-31\12_00_AM\MC-06\metro.jpg"
2026-08-31,Mon,MC-20,Purple,"Behala Chowrasta","Majerhat",12:00 AM,12,51,6," | 51 min | 3.7 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-08-31\12_00_AM\MC-20\metro.jpg"
2026-08-31,Mon,MC-23,Purple,"Behala Chowrasta","Taratala",12:00 AM,8,33,4," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-08-31\12_00_AM\MC-23\metro.jpg"
2026-09-01,Tue,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-03\metro.jpg"
2026-09-01,Tue,MC-20,Purple,"Behala Chowrasta","Majerhat",12:00 AM,12,51,8," | 51 min | 3.7 km | via NH 12 | Details | Preview",false,"/home/runner/work/Metro-Traffic-Automation/Metro-Traffic-Automation/output/ss_metro_MC-20_12_00_AM.jpg"
2026-09-01,Tue,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,11," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-20\metro.jpg"
2026-09-01,Tue,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-21\metro.jpg"
2026-09-01,Tue,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,8," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-01\1_00_PM\MC-23\metro.jpg"
